full_name,state,population,unemp,health_ins,poverty,snap,price_bbn,wired_bbn,provide_bbn,all25_bbn,downave_bbn,access_bbn,slowfrac_bbn,density,minority_percentage,no_internet,median_income
"Ada County, Idaho",Idaho,481587,2.5,8.3,11,7.5,39.95,4.42834666,15.14385394,7.488205994,55.14611388,99.74242954,0.75390431,163.7075373,0.09806950769019929,18.3,72021
"Bannock County, Idaho",Idaho,87808,2.8,8.9,17,14.2,55,3.859277591,14.56076837,7.666690236,53.93775393,91.6712156,0.094537741,29.5228912,0.11604865160349853,16.7,51989
"Bonneville County, Idaho",Idaho,119062,2.4,8.7,12.1,12.3,55,5.569333294,14.55134406,7.718220815,57.0820522,99.73321998,0.163163603,23.25677336,0.09013791134031013,13.5,64618
"Canyon County, Idaho",Idaho,229849,3.2,14.7,15.2,15.6,48.5,3.778778915,14.89590149,6.29654329,60.83994314,99.82547116,0.132880034,139.5848719,0.21035114357687001,21.4,58945
"Kootenai County, Idaho",Idaho,165697,3.6,10.3,12.1,10.5,55,2.977641711,13.21990052,6.825736653,60.4774137,99.58117279,0.203429746,47.91421073,0.06190818180172242,17.5,62579
"Twin Falls County, Idaho",Idaho,86878,2.8,11.7,14.8,10.3,55,5.774909573,16.44651175,6.516315803,51.82419605,99.64922324,0.32329751,16.80980654,NA,18.8,56276
"Adams County, Illinois",Illinois,65435,3.4,4.7,12.1,13.6,35,5.351487448,13.69814912,4.910843012,141.8605055,89.88665418,0.223529412,29.99225904,NA,23.6,55727
"Champaign County, Illinois",Illinois,209689,3.8,4.8,20.9,9.6,35,7.34164362,16.63864715,9.881267602,85.34531693,97.25970619,0.228980286,81.18425593,0.2871442946458803,18.1,52405
"Cook County, Illinois",Illinois,5150233,3.8,9.5,15.1,15.1,29,5.730882212,13.70952091,9.338560508,95.54814415,99.87024432,1,2134.420727,0.4337778504389995,20.7,69429
"DeKalb County, Illinois",Illinois,104897,4.1,5.9,16.5,13,44.99,3.87734791,20.86515244,7.845841384,58.46548721,94.20869893,0.358069836,63.72410485,0.18570597824532642,13.5,64131
"DuPage County, Illinois",Illinois,922921,2.9,5.9,6.8,6,29,5.207817114,15.21379537,8.506340283,104.7443703,99.84781737,0.945676427,1097.706801,0.23790010195888922,10.8,96403
"Kane County, Illinois",Illinois,532403,4.4,8.8,10,10.8,35,6.495081182,18.22756043,9.829972619,107.9658427,99.57078287,0.316796047,394.6365022,0.25871191559777085,12.8,84368
"Kankakee County, Illinois",Illinois,109862,5,5.9,14.8,16.9,35,4.887837814,15.68632427,8.237478256,68.54826713,97.60017395,0.200132704,63.38660191,0.19264167774116614,23.1,60923
"Kendall County, Illinois",Illinois,128990,3.3,4.4,5.3,7.6,35,6.77168783,22.29715239,10.53772784,116.9314404,99.74446573,0.031082762,150.2481058,0.18328552600976822,8.1,104858
"Lake County, Illinois",Illinois,696535,4.1,7,8.3,8.7,29,5.15870482,14.55046844,8.454264407,121.4819695,99.562798,0.514646098,611.9473932,0.2578721815845578,11.1,92511
"LaSalle County, Illinois",Illinois,108669,5.3,4.9,13.5,13.4,55,5.137486055,20.40347163,6.536029586,50.42028998,95.3211961,0.514665706,37.54987471,0.08417303922921904,19.1,59130
"McHenry County, Illinois",Illinois,307774,3.3,5.4,7.1,7,35,5.268055618,14.84033659,8.456818011,83.38363452,99.57621983,0.41601344,196.9447844,0.0768778389337631,9,88879
"McLean County, Illinois",Illinois,171517,3.8,3.8,14.6,9.8,48.79,6.820109705,16.74258219,5.523712729,80.53048044,96.33169302,0.241744839,56.52329122,0.16211804077729908,18,68784
"Macon County, Illinois",Illinois,104009,5.3,4.9,16.2,17.5,35,5.227151159,14.97884879,6.403087914,83.45533395,90.67790863,0.215274567,70.834027,0.22499975963618535,22.3,50839
"Madison County, Illinois",Illinois,262966,3.9,5.2,13.7,13,29.95,5.88282204,14.89759464,7.909332791,69.80939385,100,0.468537912,143.2523604,0.12781880547295088,18.3,67440
"Peoria County, Illinois",Illinois,179179,5.1,5.8,16.3,14.6,35,6.862763214,17.27224431,6.213015685,74.05617544,99.258396,0.371497636,115.1201013,0.27945797219540236,23.8,57247
"Rock Island County, Illinois",Illinois,141879,4.9,5.9,14.8,14.2,29,4.443644952,15.74745963,6.90235362,63.01105693,98.66741047,0.421790893,131.2377894,0.2194616539445584,21.2,58313
"St. Clair County, Illinois",Illinois,259686,4.5,6.6,16.4,15.8,35,5.500130916,15.1645982,8.564646079,68.65032153,99.95191286,0.66728758,154.6589893,0.35614934959913125,26.7,57169
"Sangamon County, Illinois",Illinois,194672,4,4.2,15.2,13.2,35,5.578803255,14.84484803,6.951651661,83.86314574,95.03642627,0.300037128,87.89318766,0.1805344374126736,20.6,61280
"Tazewell County, Illinois",Illinois,131803,4.4,3.7,8.6,11,49.99,8.763198273,20.07406157,7.09159319,122.2137184,95.09607888,0.18844293,79.94877325,0.04195655637580331,18.5,65848
"Vermilion County, Illinois",Illinois,75758,5.1,6.1,19.6,16.8,48.79,5.014792148,14.58289951,7.992203967,63.85763249,93.56367607,0.52652429,33.70082419,0.1838485704480055,27.6,43111
"Will County, Illinois",Illinois,690743,3.8,5.6,7,9.4,35,5.191686656,17.3580141,10.30535484,100.0039301,99.50988875,0.645064044,318.1154816,0.26411704497910227,11.9,90134
"Williamson County, Illinois",Illinois,66597,4.3,5.7,15,15.3,59.99,3.413467711,11.48149634,6.017669149,17.7621999,93.69668764,0.47871999,61.84074421,0.10056008528912719,25.3,58097
"Winnebago County, Illinois",Illinois,282572,5.7,6.6,15.6,17.8,35,5.493739103,14.10007636,4.545147383,93.05444801,96.80912543,0.346883405,215.2923728,0.2156972382260096,19.7,59455
"Allen County, Indiana",Indiana,379299,3.1,9.4,14.3,11.8,29.99,4.858390791,13.87904154,7.449187988,56.21032238,99.51447661,0.924434441,217.3430355,0.222465653745462,18.9,56519
"Bartholomew County, Indiana",Indiana,83779,2.5,9.1,13,9.7,35,8.78638255,19.73623811,11.51004479,86.11476677,96.07874162,0.048395219,77.70463936,0.1562921495840246,22.2,72555
"Boone County, Indiana",Indiana,67843,2.5,5.4,5.4,5.4,35,8.383826514,19.15762205,10.24416907,72.37412349,95.01670049,0.170815084,58.72257117,NA,13.7,70813
"Clark County, Indiana",Indiana,118302,3.3,8.5,10,7.7,35,5.377582645,12.71508977,7.050085494,70.3667773,97.04469756,0.155377244,119.8157579,0.12644756639786314,24.7,59064
